name lmass lmass_up lmass_low lsfr lsfr_up lsfr_low lssfr lssfr_up lssfr_low gmass gmass_up gmass_low p(delayed) p(highgmass)
SN2007kk 8.431 0.101 0.107 -3.085 0.048 0.054 -11.507 0.118 0.120 11.205 0.099 0.100 1.000 1.000 
SN2007nq 7.913 0.129 0.127 -3.267 0.072 0.086 -11.209 0.160 0.151 11.341 0.098 0.101 1.000 1.000 
SN2009hi 8.358 0.106 0.109 -4.214 0.558 0.754 -12.230 0.283 0.569 11.698 0.100 0.100 1.000 1.000 
SN2010dt 7.245 0.198 0.186 -3.367 0.075 0.085 -10.597 0.189 0.211 5.000 nan nan 0.176 0.000 
SN2010ex 7.871 0.101 0.100 -2.521 0.009 0.010 -10.389 0.100 0.106 9.692 0.099 0.096 0.000 0.001 
SNF20050821-007 7.793 0.155 0.140 -2.459 0.016 0.016 -10.254 0.143 0.152 8.794 0.105 0.108 0.000 0.000 
SNF20050829-003 7.443 0.191 0.207 -3.069 0.057 0.063 -10.498 0.211 0.203 9.908 0.101 0.097 0.062 0.183 
SNF20060512-001 8.747 0.098 0.100 -1.683 0.003 0.003 -10.430 0.100 0.096 9.350 0.100 0.099 0.000 0.000 
SNF20060512-002 9.797 0.099 0.100 -2.000 0.015 0.015 -11.798 0.097 0.099 10.515 0.101 0.099 1.000 1.000 
SNF20060521-001 9.233 0.103 0.100 -4.202 0.482 0.837 -13.548 0.535 0.494 9.809 0.101 0.099 1.000 0.029 
SNF20060521-008 7.224 0.220 0.225 -3.492 0.124 0.229 -10.681 0.275 0.271 5.000 nan nan 0.403 0.000 
SNF20060530-003 8.003 0.116 0.129 -2.278 0.009 0.010 -10.281 0.130 0.118 10.120 0.100 0.098 0.000 0.886 
SNF20060609-002 9.079 0.094 0.101 -1.744 0.006 0.007 -10.822 0.101 0.095 10.188 0.100 0.097 0.587 0.970 
SNF20060618-014 8.017 0.140 0.131 -2.470 0.022 0.021 -10.488 0.127 0.143 8.715 0.108 0.108 0.012 0.000 
SNF20060621-012 8.360 0.105 0.114 -2.390 0.014 0.014 -10.751 0.112 0.109 9.436 0.100 0.102 0.335 0.000 
SNF20060621-015 7.620 0.120 0.121 -2.117 0.007 0.007 -9.736 0.123 0.122 9.047 0.101 0.100 0.000 0.000 
SNF20060624-019 8.611 0.111 0.117 -2.314 0.017 0.020 -10.932 0.116 0.111 10.335 0.101 0.102 0.867 1.000 
SNF20060908-004 6.646 0.295 0.354 -4.407 0.507 0.619 -11.133 0.448 0.848 5.000 nan nan 0.968 0.000 
SNF20060912-000 8.063 0.138 0.157 -2.263 0.009 0.009 -10.326 0.156 0.143 10.613 0.100 0.099 0.001 1.000 
SNF20060912-004 7.753 0.171 0.163 -2.839 0.039 0.043 -10.567 0.166 0.176 10.512 0.099 0.099 0.098 1.000 
SNF20060916-002 7.760 0.151 0.146 -2.928 0.028 0.028 -10.676 0.146 0.156 8.796 0.102 0.105 0.219 0.000 
SNF20061011-005 7.715 0.107 0.102 -2.615 0.011 0.012 -10.327 0.105 0.107 8.539 0.101 0.100 0.000 0.000 
SNF20061020-000 8.450 0.103 0.101 -4.623 0.320 0.512 -12.912 0.244 0.520 10.149 0.099 0.099 1.000 0.933 
SNF20061021-003 8.377 0.117 0.118 -3.557 0.139 0.215 -11.950 0.184 0.214 10.956 0.101 0.101 1.000 1.000 
SNF20061022-005 8.697 0.116 0.116 -2.214 0.009 0.010 -10.908 0.113 0.118 10.245 0.102 0.102 0.823 0.992 
SNF20061022-014 9.007 0.097 0.092 -2.417 0.010 0.011 -11.428 0.093 0.098 10.442 0.096 0.100 1.000 1.000 
SNF20061024-000 8.098 0.131 0.125 -3.580 0.153 0.249 -11.759 0.238 0.339 11.060 0.097 0.100 1.000 1.000 
SNF20070331-014 6.846 0.293 0.378 -3.799 0.304 0.505 -10.744 0.455 0.471 10.987 0.101 0.100 0.785 1.000 
SNF20070403-000 8.011 0.118 0.112 -2.960 0.043 0.046 -10.959 0.117 0.128 9.803 0.101 0.101 0.905 0.026 
SNF20070424-003 7.332 0.192 0.189 -3.107 0.057 0.067 -10.432 0.198 0.191 9.417 0.099 0.099 0.039 0.000 
SNF20070427-001 7.558 0.200 0.202 -3.986 0.363 0.583 -11.396 0.330 0.511 10.324 0.098 0.098 0.976 0.999 
SNF20070429-000 7.912 0.105 0.109 -2.520 0.020 0.020 -10.427 0.110 0.108 10.064 0.101 0.098 0.000 0.744 
SNF20070506-006 7.485 0.114 0.108 -2.693 0.015 0.015 -10.176 0.112 0.113 9.779 0.099 0.102 0.000 0.013 
SNF20070531-011 8.563 0.102 0.101 -2.634 0.020 0.022 -11.190 0.101 0.104 10.601 0.101 0.098 1.000 1.000 
SNF20070630-006 7.808 0.160 0.153 -2.664 0.027 0.028 -10.474 0.162 0.157 9.413 0.099 0.102 0.023 0.000 
SNF20070701-005 8.421 0.111 0.111 -2.711 0.031 0.032 -11.122 0.119 0.111 10.660 0.097 0.101 0.995 1.000 
SNF20070712-000 8.046 0.105 0.104 -2.337 0.008 0.008 -10.383 0.102 0.110 9.775 0.099 0.101 0.000 0.012 
SNF20070712-003 7.551 0.180 0.156 -3.713 0.232 0.418 -11.319 0.272 0.348 8.419 0.137 0.129 0.974 0.000 
SNF20070714-007 8.288 0.105 0.107 -2.571 0.023 0.021 -10.858 0.109 0.105 9.859 0.101 0.098 0.709 0.081 
SNF20070725-001 7.017 0.234 0.291 -2.814 0.044 0.050 -9.832 0.300 0.242 8.775 0.102 0.104 0.000 0.000 
SNF20070727-016 7.387 0.211 0.223 -4.282 0.480 0.597 -12.256 0.568 0.881 10.710 0.098 0.099 1.000 1.000 
SNF20070802-000 7.648 0.182 0.204 -4.302 0.538 0.634 -11.961 0.586 0.792 11.145 0.098 0.098 0.999 1.000 
SNF20070806-026 7.610 0.157 0.174 -4.357 0.373 0.590 -11.950 0.313 0.469 10.738 0.100 0.099 1.000 1.000 
SNF20070817-003 7.192 0.228 0.231 -3.473 0.071 0.088 -10.651 0.240 0.243 7.416 0.166 0.176 0.276 0.000 
SNF20070818-001 7.392 0.238 0.239 -3.242 0.123 0.169 -10.708 0.282 0.298 10.168 0.104 0.101 0.899 0.954 
SNF20070820-000 8.614 0.108 0.109 -2.011 0.006 0.006 -10.625 0.110 0.107 10.110 0.100 0.099 0.052 0.863 
SNF20070831-015 8.636 0.100 0.103 -2.046 0.010 0.010 -10.684 0.103 0.099 9.978 0.100 0.098 0.127 0.409 
SNF20070902-018 8.613 0.111 0.108 -2.269 0.014 0.015 -10.883 0.110 0.111 10.261 0.100 0.100 0.766 0.995 
SNF20070902-021 8.119 0.115 0.118 -2.240 0.011 0.012 -10.355 0.117 0.118 9.596 0.101 0.102 0.000 0.000 
SNF20071003-004 7.305 0.227 0.197 -3.266 0.092 0.121 -10.609 0.241 0.285 8.566 0.103 0.104 0.333 0.000 
SNF20071015-000 8.392 0.099 0.102 -2.276 0.010 0.010 -10.668 0.104 0.098 10.417 0.098 0.100 0.094 1.000 
SNF20071021-000 7.824 0.108 0.108 -2.509 0.007 0.008 -10.332 0.105 0.110 9.633 0.099 0.099 0.000 0.000 
SNF20071108-021 7.689 0.181 0.170 -3.298 0.070 0.081 -11.042 0.194 0.213 9.215 0.102 0.102 0.886 0.000 
SNF20080507-000 8.910 0.095 0.104 -1.943 0.006 0.006 -10.855 0.105 0.097 10.005 0.100 0.101 0.700 0.517 
SNF20080510-001 7.001 0.268 0.299 -3.583 0.208 0.311 -10.569 0.366 0.430 5.000 nan nan 0.655 0.000 
SNF20080512-008 6.927 0.283 0.360 -3.449 0.145 0.247 -10.682 0.491 0.549 5.000 nan nan 0.547 0.000 
SNF20080512-010 8.907 0.100 0.103 -4.069 0.343 0.522 -12.755 0.215 0.262 11.617 0.099 0.100 1.000 1.000 
SNF20080514-002 8.659 0.103 0.095 -3.543 0.064 0.073 -12.189 0.115 0.134 10.598 0.099 0.100 1.000 1.000 
SNF20080516-000 7.609 0.156 0.145 -2.846 0.040 0.044 -10.440 0.152 0.161 7.880 0.105 0.108 0.019 0.000 
SNF20080516-022 7.056 0.265 0.324 -3.662 0.158 0.272 -10.826 0.416 0.391 10.531 0.099 0.097 0.589 1.000 
SNF20080522-011 8.112 0.101 0.101 -2.145 0.009 0.009 -10.256 0.101 0.100 8.520 0.102 0.102 0.000 0.000 
SNF20080531-000 7.879 0.104 0.106 -2.120 0.006 0.006 -9.995 0.106 0.103 9.900 0.099 0.099 0.000 0.157 
SNF20080610-000 7.536 0.201 0.180 -3.284 0.111 0.145 -10.872 0.221 0.245 8.565 0.106 0.106 0.660 0.000 
SNF20080612-003 8.538 0.101 0.095 -2.636 0.015 0.015 -11.171 0.099 0.102 9.837 0.103 0.100 1.000 0.056 
SNF20080614-010 8.047 0.137 0.136 -4.015 0.315 0.516 -12.109 0.405 0.566 10.492 0.097 0.099 1.000 1.000 
SNF20080620-000 8.577 0.099 0.097 -1.986 0.005 0.005 -10.564 0.097 0.098 8.939 0.096 0.101 0.010 0.000 
SNF20080626-002 7.645 0.094 0.105 -2.759 0.018 0.020 -10.406 0.110 0.094 8.745 0.100 0.104 0.000 0.000 
SNF20080717-000 8.887 0.103 0.092 -1.963 0.007 0.008 -10.852 0.094 0.105 10.263 0.099 0.098 0.698 0.996 
SNF20080725-004 8.594 0.103 0.106 -1.925 0.006 0.006 -10.517 0.104 0.105 9.816 0.100 0.101 0.006 0.035 
SNF20080802-006 7.930 0.150 0.147 -3.836 0.282 0.473 -11.666 0.337 0.458 10.532 0.101 0.100 0.999 1.000 
SNF20080803-000 8.340 0.113 0.105 -2.942 0.045 0.049 -11.302 0.118 0.120 10.596 0.098 0.098 1.000 1.000 
SNF20080806-002 8.737 0.100 0.100 -1.922 0.006 0.007 -10.657 0.100 0.102 10.284 0.101 0.099 0.086 0.998 
SNF20080815-017 8.338 0.117 0.121 -4.094 0.366 0.600 -12.313 0.297 0.818 10.915 0.099 0.098 1.000 1.000 
SNF20080821-000 8.809 0.100 0.105 -2.115 0.011 0.011 -10.923 0.106 0.097 5.000 nan nan 0.871 0.000 
SNF20080822-005 8.199 0.122 0.128 -2.694 0.031 0.035 -10.896 0.135 0.127 10.656 0.097 0.099 0.753 1.000 
SNF20080908-000 7.447 0.151 0.142 -2.693 0.024 0.024 -10.138 0.147 0.151 8.256 0.112 0.109 0.000 0.000 
SNF20080909-030 6.956 0.137 0.145 -2.715 0.016 0.017 -9.671 0.141 0.136 8.889 0.105 0.102 0.000 0.000 
SNF20080913-031 7.101 0.254 0.243 -4.031 0.297 0.512 -11.165 0.394 0.492 5.000 nan nan 0.938 0.000 
SNF20080914-001 8.506 0.099 0.101 -2.690 0.010 0.011 -11.196 0.104 0.096 9.917 0.097 0.099 1.000 0.201 
SNF20080918-004 6.432 0.396 0.542 -3.447 0.109 0.144 -9.829 0.563 0.401 5.000 nan nan 0.009 0.000 
SNF20080919-002 7.879 0.134 0.133 -2.730 0.021 0.022 -10.611 0.133 0.135 9.867 0.099 0.099 0.080 0.098 
SNIC3573 8.051 0.132 0.130 -4.236 0.457 0.962 -12.417 0.476 0.708 10.839 0.101 0.102 1.000 1.000 
SNNGC4076 8.795 0.101 0.101 -2.345 0.010 0.010 -11.144 0.104 0.100 10.702 0.100 0.100 1.000 1.000 
SNNGC6343 6.485 0.273 0.343 -5.253 0.405 0.604 -11.663 0.407 0.448 5.000 nan nan 0.988 0.000 
SNNGC7589 8.540 0.099 0.098 -2.532 0.013 0.013 -11.071 0.101 0.100 10.580 0.101 0.098 0.996 1.000 
SNPGC51271 6.646 0.271 0.319 -3.948 0.343 0.563 -10.365 0.353 0.403 5.000 nan nan 0.590 0.000 
SNhunt46 7.860 0.103 0.109 -2.549 0.013 0.014 -10.411 0.110 0.104 5.000 nan nan 0.000 0.000 
SNhunt89 8.669 0.104 0.104 -4.746 0.479 0.757 -13.229 0.457 0.620 11.361 0.097 0.101 1.000 1.000 
